produto_id,sku,unidades_vendidas,unidades_devolvidas,taxa_devolucao_pct
12,AUR-00000012,899,26,2.8921023359288098
36,AUR-00000036,899,26,2.8921023359288098
100,AUR-00000100,900,26,2.8888888888888889
21,AUR-00000021,673,18,2.6745913818722140
85,AUR-00000085,673,18,2.6745913818722140
109,AUR-00000109,673,18,2.6745913818722140
6,AUR-00000006,1047,26,2.4832855778414518
30,AUR-00000030,1047,26,2.4832855778414518
94,AUR-00000094,1050,26,2.4761904761904762
84,AUR-00000084,898,22,2.4498886414253898
108,AUR-00000108,898,22,2.4498886414253898
20,AUR-00000020,899,22,2.4471635150166852
44,AUR-00000044,899,22,2.4471635150166852
60,AUR-00000060,899,22,2.4471635150166852
69,AUR-00000069,671,16,2.3845007451564829
93,AUR-00000093,671,16,2.3845007451564829
5,AUR-00000005,673,16,2.3774145616641902
29,AUR-00000029,673,16,2.3774145616641902
45,AUR-00000045,673,16,2.3774145616641902
53,AUR-00000053,673,16,2.3774145616641902
46,AUR-00000046,1047,23,2.1967526265520535
70,AUR-00000070,1047,23,2.1967526265520535
15,AUR-00000015,821,18,2.1924482338611449
39,AUR-00000039,821,18,2.1924482338611449
103,AUR-00000103,821,18,2.1924482338611449
24,AUR-00000024,1195,26,2.1757322175732218
88,AUR-00000088,1195,26,2.1757322175732218
112,AUR-00000112,1195,26,2.1757322175732218
52,AUR-00000052,899,19,2.1134593993325918
76,AUR-00000076,899,19,2.1134593993325918
22,AUR-00000022,1047,22,2.1012416427889207
86,AUR-00000086,1047,22,2.1012416427889207
110,AUR-00000110,1047,22,2.1012416427889207
55,AUR-00000055,821,17,2.0706455542021924
79,AUR-00000079,821,17,2.0706455542021924
4,AUR-00000004,899,18,2.0022246941045606
28,AUR-00000028,899,18,2.0022246941045606
68,AUR-00000068,899,18,2.0022246941045606
92,AUR-00000092,899,18,2.0022246941045606
7,AUR-00000007,821,16,1.9488428745432400
31,AUR-00000031,821,16,1.9488428745432400
71,AUR-00000071,821,16,1.9488428745432400
95,AUR-00000095,821,16,1.9488428745432400
18,AUR-00000018,1343,26,1.9359642591213701
42,AUR-00000042,1343,26,1.9359642591213701
82,AUR-00000082,1343,26,1.9359642591213701
106,AUR-00000106,1343,26,1.9359642591213701
37,AUR-00000037,673,13,1.9316493313521545
61,AUR-00000061,673,13,1.9316493313521545
9,AUR-00000009,969,18,1.8575851393188854
33,AUR-00000033,969,18,1.8575851393188854
72,AUR-00000072,1190,22,1.8487394957983193
96,AUR-00000096,1190,22,1.8487394957983193
97,AUR-00000097,975,18,1.8461538461538462
8,AUR-00000008,1195,22,1.8410041841004184
32,AUR-00000032,1195,22,1.8410041841004184
48,AUR-00000048,1195,22,1.8410041841004184
56,AUR-00000056,1195,22,1.8410041841004184
13,AUR-00000013,673,12,1.7830609212481426
101,AUR-00000101,673,12,1.7830609212481426
77,AUR-00000077,675,12,1.7777777777777778
78,AUR-00000078,1044,18,1.7241379310344828
102,AUR-00000102,1044,18,1.7241379310344828
14,AUR-00000014,1047,18,1.7191977077363897
38,AUR-00000038,1047,18,1.7191977077363897
54,AUR-00000054,1047,18,1.7191977077363897
58,AUR-00000058,1343,23,1.7125837676842889
81,AUR-00000081,963,16,1.6614745586708204
105,AUR-00000105,963,16,1.6614745586708204
17,AUR-00000017,969,16,1.6511867905056760
41,AUR-00000041,969,16,1.6511867905056760
57,AUR-00000057,969,16,1.6511867905056760
10,AUR-00000010,1343,22,1.6381236038719285
34,AUR-00000034,1343,22,1.6381236038719285
74,AUR-00000074,1343,22,1.6381236038719285
98,AUR-00000098,1343,22,1.6381236038719285
3,AUR-00000003,1117,18,1.6114592658907789
27,AUR-00000027,1117,18,1.6114592658907789
