mes,receita,receita_ano_anterior,variacao_abs,taxa_variacao_pct
2023-01-01,285212.82,NULL,NULL,NULL
2023-02-01,288690.61,NULL,NULL,NULL
2023-03-01,289264.55,NULL,NULL,NULL
2023-04-01,288478.39,NULL,NULL,NULL
2023-05-01,286231.87,NULL,NULL,NULL
2023-06-01,285226.27,NULL,NULL,NULL
2023-07-01,285028.56,NULL,NULL,NULL
2023-08-01,288713.09,NULL,NULL,NULL
2023-09-01,288130.47,NULL,NULL,NULL
2023-10-01,287677.69,NULL,NULL,NULL
2023-11-01,575990.00,NULL,NULL,NULL
2023-12-01,291755.13,NULL,NULL,NULL
2024-01-01,250772.04,285212.82,-34440.78,-12.0754670144210208
2024-02-01,254001.87,288690.61,-34688.74,-12.0158878738730020
2024-03-01,249573.17,289264.55,-39691.38,-13.7214809073562592
2024-04-01,289073.66,288478.39,595.27,0.20634821207924794644
2024-05-01,292426.55,286231.87,6194.68,2.1642174227489063
2024-06-01,287581.05,285226.27,2354.78,0.82558314141260550790
2024-07-01,291972.07,285028.56,6943.51,2.4360751778698949
2024-08-01,292021.20,288713.09,3308.11,1.1458122664268530
2024-09-01,297449.52,288130.47,9319.05,3.2343160374534495
2024-10-01,300196.52,287677.69,12518.83,4.3516860831300474
2024-11-01,549119.41,575990.00,-26870.59,-4.6651139776732235
2024-12-01,291883.94,291755.13,128.81,0.04415003773883941647
2025-01-01,308712.88,250772.04,57940.84,23.1049841122638712
2025-02-01,310171.06,254001.87,56169.19,22.1136915251844406
2025-03-01,303277.46,249573.17,53704.29,21.5184548884000632
2025-04-01,305135.15,289073.66,16061.49,5.5561928402608525
2025-05-01,307896.43,292426.55,15469.88,5.2901762852928368
2025-06-01,308491.04,287581.05,20909.99,7.2709902130199469
2025-07-01,310517.90,291972.07,18545.83,6.3519192092586116
2025-08-01,307977.30,292021.20,15956.10,5.4640211053170112
2025-09-01,308085.51,297449.52,10635.99,3.5757294212476793
2025-10-01,311227.33,300196.52,11030.81,3.6745296048068778
2025-11-01,618095.99,549119.41,68976.58,12.5613079311838567
2025-12-01,307794.58,291883.94,15910.64,5.4510159072129834
